Date,QQQ,SPY
2020-03-20,165.54966735839844,213.3734130859375
2020-03-23,165.66921997070312,207.91787719726562
2020-03-24,178.49818420410156,226.75587463378906
2020-03-25,177.17642211914062,230.15042114257812
2020-03-26,186.506591796875,243.58888244628906
2020-03-27,180.09214782714844,236.33348083496094
2020-03-30,186.6427001953125,244.00852966308594
2020-03-31,185.04876708984375,240.3715057373047
2020-04-01,177.18618774414062,229.55361938476562
2020-04-02,180.78216552734375,234.85067749023438
2020-04-03,178.2163848876953,231.4560546875
2020-04-06,190.95791625976562,247.00213623046875
2020-04-07,190.88015747070312,247.25393676757812
2020-04-08,194.9329833984375,255.55386352539062
2020-04-09,195.2147979736328,259.4426574707031
2020-04-13,197.3238067626953,257.0739440917969
2020-04-14,205.9056396484375,264.65582275390625
2020-04-15,203.54393005371094,259.03228759765625
2020-04-16,207.25657653808594,260.281982421875
2020-04-17,209.23922729492188,267.3136901855469
2020-04-20,206.76092529296875,262.6040954589844
2020-04-21,199.13156127929688,254.63058471679688
2020-04-22,205.04067993164062,260.281982421875
2020-04-23,204.60328674316406,260.2633361816406
2020-04-24,207.82998657226562,263.89105224609375
2020-04-27,209.50167846679688,267.6960144042969
2020-04-28,205.55575561523438,266.46490478515625
2020-04-29,212.8450164794922,273.440673828125
2020-04-30,212.75747680664062,270.8948059082031
2020-05-01,206.76092529296875,263.7232666015625
2020-05-04,209.17124938964844,264.4505920410156
2020-05-05,211.54266357421875,266.8940124511719
2020-05-06,212.8450164794922,265.0848083496094
2020-05-07,215.5857391357422,268.2835388183594
2020-05-08,218.5403289794922,272.7225646972656
2020-05-11,220.49374389648438,272.77850341796875
2020-05-12,215.87730407714844,267.3416442871094
2020-05-13,213.17544555664062,262.6134033203125
2020-05-14,215.59544372558594,265.75628662109375
2020-05-15,216.99496459960938,266.9778747558594
2020-05-18,221.0380401611328,275.11004638671875
2020-05-19,220.48406982421875,272.2842102050781
2020-05-20,224.88674926757812,276.90985107421875
2020-05-21,222.43759155273438,274.9981384277344
2020-05-22,223.2053985595703,275.520263671875
2020-05-26,222.60279846191406,278.9148864746094
2020-05-27,223.81764221191406,283.0648498535156
2020-05-28,223.52609252929688,282.5426330566406
2020-05-29,226.80136108398438,283.8016052246094
2020-06-01,227.48170471191406,284.9486999511719
2020-06-02,229.0076141357422,287.30804443359375
2020-06-03,230.0377960205078,291.1316223144531
2020-06-04,228.4244384765625,290.36688232421875
2020-06-05,232.95346069335938,297.8089294433594
2020-06-08,234.76119995117188,301.4086608886719
2020-06-09,236.46197509765625,299.1611022949219
2020-06-10,239.29994201660156,297.4918212890625
2020-06-11,227.44287109375,280.34173583984375
2020-06-12,229.2505340576172,283.698974609375
