Date,GLD,IWM,QQQ,SPY,TLT
2010-01-04,109.80000305175781,52.0366096496582,40.54620361328125,86.02643585205078,58.89331817626953
2010-01-05,109.69999694824219,51.857688903808594,40.54620361328125,86.25416564941406,59.273616790771484
2010-01-06,111.51000213623047,51.808876037597656,40.30162811279297,86.31489562988281,58.48015213012695
2010-01-07,110.81999969482422,52.19115447998047,40.32781219482422,86.67925262451172,58.578548431396484
2010-01-08,111.37000274658203,52.47581100463867,40.659732818603516,86.96771240234375,58.55236053466797
2010-01-11,112.8499984741211,52.26435470581055,40.493778228759766,87.08917236328125,58.230995178222656
2010-01-12,110.48999786376953,51.69502639770508,39.987159729003906,86.27694702148438,59.227725982666016
2010-01-13,111.54000091552734,52.36195755004883,40.48503875732422,87.00564575195312,58.53919219970703
2010-01-14,112.02999877929688,52.55716323852539,40.51997375488281,87.24097442626953,59.35892105102539
2010-01-15,110.86000061035156,51.79261016845703,40.04831314086914,86.2617416381836,59.72609329223633
2010-01-19,111.5199966430664,52.744224548339844,40.694671630859375,87.33966064453125,59.55559539794922
2010-01-20,108.94000244140625,51.97968292236328,40.109458923339844,86.45155334472656,60.15889358520508
2010-01-21,107.37000274658203,51.125694274902344,39.733863830566406,84.78912353515625,60.434326171875
2010-01-22,107.16999816894531,50.20664978027344,38.57217025756836,82.89905548095703,60.329368591308594
2010-01-25,107.4800033569336,50.26356506347656,38.70319366455078,83.32413482666016,60.053993225097656
2010-01-26,107.55999755859375,49.76743698120117,38.73813247680664,82.9749526977539,60.073665618896484
2010-01-27,106.52999877929688,50.29610061645508,39.043819427490234,83.36970520019531,60.04086685180664
2010-01-28,106.4800033569336,49.433990478515625,38.039363861083984,82.4132308959961,60.008056640625
2010-01-29,105.95999908447266,48.8890495300293,37.37551498413086,81.51753997802734,60.5327033996582
2010-02-01,108.3499984741211,49.466514587402344,37.78605270385742,82.78519439697266,59.98318099975586
2010-02-02,109.12999725341797,50.011436462402344,38.12669372558594,83.78717041015625,60.15430450439453
2010-02-03,108.69999694824219,49.677982330322266,38.336341857910156,83.36970520019531,59.45669937133789
2010-02-04,104.37000274658203,48.018802642822266,37.22701644897461,80.79641723632812,60.39780807495117
2010-02-05,104.68000030517578,48.205848693847656,37.54148864746094,80.96340942382812,60.52935791015625
2010-02-08,104.04000091552734,47.725990295410156,37.270694732666016,80.37890625,60.608341217041016
2010-02-09,105.41000366210938,48.38478088378906,37.655029296875,81.38850402832031,60.002967834472656
2010-02-10,105.12000274658203,48.498653411865234,37.57642364501953,81.22909545898438,59.430397033691406
2010-02-11,107.12999725341797,49.271305084228516,38.1441650390625,82.0792465209961,59.10798263549805
2010-02-12,107.04000091552734,49.62916946411133,38.22277069091797,82.01091766357422,59.35145568847656
2010-02-16,109.62000274658203,50.46689987182617,38.7119140625,83.30136108398438,59.46332550048828
2010-02-17,109.25,50.80849838256836,38.93027114868164,83.69608306884766,58.785526275634766
2010-02-18,109.9800033569336,51.223289489746094,39.17485046386719,84.18946838378906,58.54865264892578
2010-02-19,109.47000122070312,51.288360595703125,39.15739059448242,84.36404418945312,58.86448669433594
2010-02-22,109.06999969482422,51.44288635253906,39.07876968383789,84.37926483154297,58.62093734741211
2010-02-23,107.88999938964844,50.841041564941406,38.57217025756836,83.35449981689453,59.535701751708984
2010-02-24,107.36000061035156,51.2720947265625,38.9652214050293,84.12115478515625,59.680503845214844
2010-02-25,108.30999755859375,51.288360595703125,38.95649337768555,84.0073013305664,60.01610565185547
2010-02-26,109.43000030517578,51.07689666748047,39.09624481201172,84.06043243408203,60.32540512084961
2010-03-01,109.43000030517578,52.26435470581055,39.664005279541016,84.93336486816406,60.29896545410156
2010-03-02,111.0199966430664,52.662872314453125,39.78626251220703,85.16867065429688,60.21973419189453
2010-03-03,111.62999725341797,52.96381378173828,39.82994079589844,85.24458312988281,60.06791687011719
2010-03-04,110.83000183105469,53.102088928222656,39.960975646972656,85.502685546875,60.38475799560547
2010-03-05,110.80999755859375,54.18379592895508,40.56366729736328,86.72478485107422,59.5926399230957
2010-03-08,109.87999725341797,54.281402587890625,40.64225387573242,86.73999786376953,59.282352447509766
2010-03-09,109.72000122070312,54.47659683227539,40.86937713623047,86.88423156738281,59.29549026489258
2010-03-10,108.47000122070312,54.9401969909668,41.20128631591797,87.2713394165039,59.14370346069336
2010-03-11,108.5999984741211,55.10287094116211,41.35851287841797,87.63570404052734,59.361576080322266
2010-03-12,107.94999694824219,55.078453063964844,41.367244720458984,87.64330291748047,59.73123550415039
2010-03-15,108.36000061035156,54.89139175415039,41.26241683959961,87.66606140136719,59.65203094482422
2010-03-16,110.4000015258789,55.363128662109375,41.52446365356445,88.36441802978516,60.12733840942383
2010-03-17,109.58999633789062,55.68846893310547,41.63800811767578,88.88817596435547,60.38475799560547
2010-03-18,110.33999633789062,55.51766586303711,41.777774810791016,88.8426513671875,60.186767578125
2010-03-19,108.27999877929688,54.826324462890625,41.52507019042969,88.39292907714844,60.246177673339844
2010-03-22,107.75,55.598995208740234,41.901058197021484,88.86549377441406,60.31217956542969
2010-03-23,108.31999969482422,56.30661392211914,42.18963623046875,89.49053955078125,60.028297424316406
2010-03-24,106.30000305175781,55.66408157348633,41.98850631713867,89.05603790283203,58.93244171142578
2010-03-25,106.77999877929688,55.313514709472656,41.92728042602539,88.91120910644531,58.55613327026367
2010-03-26,108.58999633789062,55.28902053833008,41.97100067138672,88.85787963867188,58.721214294433594
2010-03-29,108.75,55.5907096862793,42.1721305847168,89.42191314697266,58.49672317504883
